title;cast;date_added;release_year;rating
A Man For The Week End;Syndy Emade, Alexx Ekubo, Solange Ojong, Nchifor Valery, Miss Li, Becky Takang, Anurin Nwunembom, Nkwah Kingsley, Roger Brice Sobgo, Jeanne Mbenti;16/06/2021;2018;TV-14
A Mighty Team;Gérard Depardieu, Chantal Lauby, Medi Sadoun, Ilian Bergala, Blanche Gardin, Patrick Timsit, Barbara Cabrita, Jean Dell, Thomas Vandenberghe, Théo Fernandez, Léa Lopez;15/10/2016;2016;TV-MA
A Mission in an Old Movie;Edward, Fifi Abdo, Lotfy Labib, Madeleine Matar, Nahla Zaki, Ahmed Fathy, Said Tarabeek, Badriya Tolba, Eman El-Sayed;25/04/2019;2012;TV-MA
A Monster Calls;Lewis MacDougall, Sigourney Weaver, Felicity Jones, Liam Neeson, Toby Kebbell, Ben Moor, James Melville, Oliver Steer, Dominic Boyle, Geraldine Chaplin, Jennifer Lim;16/01/2021;2016;PG-13
A New York Christmas Wedding;Nia Fairweather, Chris Noth, Cooper Koch, Tyra Ferrell, Denny Dillon, Adriana DeMeo, Otoja Abit, David Anzuelo, Camilla Harden, Natasha Goodman, Avery Whitted, Tony D. Head, Joe Perrino;05/11/2020;2020;TV-MA
A Night at the Roxbury;Will Ferrell, Chris Kattan, Dan Hedaya, Molly Shannon, Richard Grieco, Loni Anderson, Elisa Donovan, Gigi Rice, Lochlyn Munro, Dwayne Hickman;01/12/2019;1998;PG-13
A Noble Intention;Gijs Scholten van Aschat, Jacob Derwig, Rifka Lodeizen, Juda Goslinga, Zeb Troostwijk, Elisabeth Hesemans, Joosje Duk;01/09/2016;2015;TV-MA
A Patch of Fog;Stephen Graham, Conleth Hill, Lara Pulver, Arsher Ali, Stuart Graham, Ian McElhinney;15/04/2017;2015;TV-MA
A Perfect Day For Arsenide;Wilfred Lau, Hanna Chan, Terence Siufay, Chloe So, Martin Wong, Aaron Chow, So Wai Chuen, Aiden Hung, Sarika Choy;01/03/2021;2019;TV-MA
A Perfect Ending;Barbara Niven, Jessica Clark, John Heard, Morgan Fairchild, Kerry Knuppe, Imelda Corcoran, Mary Jane Wells, Rebecca Staab, Michael Adam Hamilton, Bryan Jackson, Bryan Mordechai Jackson;02/06/2021;2012;TV-MA
A Perfect Fit;Nadya Arina, Refal Hady, Giorgino Abraham, Anggika Bolsterli, Laura Theux, Christine Hakim, Unique Priscilla, Karina Suwandi, Mathias Muchus, Ayu Laksmi, I Made Sidia, Dominique Sanda, Bryan Domani, Wafda Saifan, Yayu Unru, Dave Hendrik;15/07/2021;2021;TV-PG
A Place in the Stars;Gideon Okeke, Dejumo Lewis, Segun Arinze, Amaka Mgbor, Mathilda Obaseki, Yemi Blaque, Lantana Ahmed, Patrick Otoro, Femi Brach, Ladi Alpha;25/05/2021;2014;TV-14
A Princess for Christmas;Katie McGrath, Sir Roger Moore, Sam Heughan, Travis Turner, Leilah de Meza, Miles Richardson, Charlotte Salt;28/08/2020;2011;TV-PG
A Queen Is Born;Gloria Groove, Alexia Twister;11/11/2020;2020;TV-14
A Remarkable Tale;Carmen Machi, Pepón Nieto, Kiti Mánver, Jon Kortajarena, Jimmy Castro, Ricardo Nkosi, Montse Pla, Malcolm Treviño-Sitté, Pepa Charro, Esperanza Elipe, Mariana Cordero, Txema Blasco;01/11/2019;2019;TV-MA
A Scandall;Johnny Baweja, Reeth Mazumder, Manav Kaul, Tanvi Vyas, Puru Chibber, Vasundhara Kaul, Aayam Mehta, Niraj Sah;15/10/2017;2016;TV-MA
A Second Chance;John Lloyd Cruz, Bea Alonzo, Dimples Romana, Janus del Prado, James Blanco, Ahron Villena, Beatriz Saw, Shamaine Centenera, Khalil Ramos, Billy Crawford, Al Tantay, Arci Muñoz;27/02/2019;2015;TV-MA
A Separation;Leila Hatami, Peyman Moaadi, Shahab Hosseini, Sareh Bayat, Sarina Farhadi, Babak Karimi, Ali-Asghar Shahbazi, Shirin Yazdanbakhsh, Kimia Hosseini, Merila Zare'i, Sahabanu Zolghadr;16/03/2019;2011;PG-13
A Series of Unfortunate Events;Neil Patrick Harris, Patrick Warburton, Malina Weissman, Louis Hynes, K. Todd Freeman, Joan Cusack, Aasif Mandvi;01/01/2019;2019;TV-PG
A Silent Voice;Miyu Irino, Saori Hayami, Aoi Yuki, Kensho Ono, Yuki Kaneko, Yui Ishikawa, Megumi Han, Toshiyuki Toyonaga, Mayu Matsuoka;05/06/2019;2016;TV-14
A Sort of Family;Bárbara Lennie, Daniel Aráoz, Claudio Tolcachir, Paula Cohen, Yanina Ávila;01/04/2018;2017;TV-14
A Sort of Homecoming;Laura Marano, Parker Mack, Katherine McNamara, Marcus Lyle Brown, Shayne Topp, Michelle Clunie, Kathleen Wilhoite;01/08/2017;2015;TV-PG
A Stoning in Fulham County;Ken Olin, Jill Eikenberry, Maureen Mueller, Gregg Henry, Nicholas Pryor, Noble Willingham, Peter Michael Goetz, Ron Perlman, Theodore Bikel, Olivia Burnette, Bill Allen, Brad Pitt;01/10/2011;1988;TV-14
A Sun;Wu Chien-ho, Chen Yi-wen, Samantha Ko, Liu Kuan-ting, Greg Hsu, Wu Tai-ling, Wen Chen-ling, Yin Shin;24/01/2020;2019;TV-MA
A Taiwanese Tale of Two Cities;Tammy Chen, James Wen, Peggy Tseng, Denny Huang;27/01/2019;2018;TV-MA
A Tale of Love and Darkness;Natalie Portman, Gilad Kahana, Amir Tessler, Moni Moshonov, Ohad Knoller, Makram Khoury, Neta Riskin, Alexander Peleg, Rotem Keinan, Tomer Kapon;25/10/2019;2015;PG-13
A Thousand Goodnights;Cindy Lien, Nicholas Teo, Yao Ai-ning, Li Chung-lin, Chen Bor-jeng, Miao Ke-li;01/06/2019;2019;TV-14
A Thousand Words;Eddie Murphy, Kerry Washington, Cliff Curtis, Clark Duke, Allison Janney, Ruby Dee, John Witherspoon, Jack McBrayer;01/07/2020;2012;PG-13
A Touch of Green;Weber Yang, Cheryl Yang, Tien Hsin, Gabriel Lan, Wu Kang-jen, Cindy Lien, Wen Chen-ling, Hans Chung;01/07/2020;2016;TV-MA
A Trip to Jamaica;Ayo Makun, Funke Akindele, Nse Ikpe-Etim, Dan Davies, Paul Campbell, Chris Attoh, Rebecca Silvera, Eric Roberts, Joe Diaz, Alex Moore;13/12/2019;2016;TV-MA
A truthful Mother;Revathi, Roger Narayanan, Sneha Ravishankar, Vidya Shankar, SR Leela;31/03/2020;2020;TV-Y7
A Twelve Year Night;Antonio de la Torre, Chino Darín, Alfonso Tort, Soledad Villamil, César Troncoso, Silvia Pérez Cruz, César Bordón, Mirella Pascual, Nidia Telles, Eduardo Recabarren;28/12/2018;2018;TV-MA
A Very Murray Christmas;Bill Murray, Miley Cyrus, George Clooney, Chris Rock, Amy Poehler, Michael Cera, Maya Rudolph, Rashida Jones, Jason Schwartzman, Paul Shaffer, Jenny Lewis, Phoenix;04/12/2015;2015;TV-14
A Very Secret Service;Hugo Becker, Wilfred Benaïche, Christophe Kourotchkine, Karim Barras, Bruno Paviot, Jean-Édouard Bodziak, Mathilde Warnier, Joséphine de La Baume, Marie-Julie Baup, Antoine Gouy, Julie Farenc;30/07/2018;2018;TV-MA
A Way Back Home;Alexx Ekubo, Ik Ogbonna, Bimbo Manuel, Haillie Sumney, Clem Ohameze, John Fashanu, Damilola Ogunsi, Amb. Rachel Bakam, Alexandra Ayo, Mariah Ug;28/06/2021;2020;TV-14
A Wednesday;Anupam Kher, Naseeruddin Shah, Jimmy Shergill, Deepal Shaw, Aamir Bashir, Kali Prasad Mukherjee, Vijay Bhatia, Chetan Pandit;01/11/2018;2008;TV-MA
A Week Away;Kevin Quinn, Bailee Madison, Jahbril Cook, Kat Conner Sterling, Sherri Shepherd, David Koechner, Iain Tucker, Amy Grant;26/03/2021;2021;TV-PG
A Whisker Away;Mirai Shida, Natsuki Hanae, Hiroaki Ogi, Koichi Yamadera, Minako Kotobuki, Susumu Chiba, Ayako Kawasumi, Sayaka Ohara, Daisuke Namikawa;18/06/2020;2020;TV-PG
A Yellow Bird;Sivakumar Palakrishnan, Huang Lu, Seema Biswas, Udaya Soundari, Nithiyia Rao, Indra Chandran;01/05/2017;2016;TV-MA
A.D. Kingdom and Empire;Juan Pablo Di Pace, Adam Levy, Chipo Chung, Babou Ceesay, Emmett Scanlan, Will Thorp, Richard Coyle, Vincent Regan, Greta Scacchi, James Callis, Joanne Whalley, Jodhi May, Chris Brazier, Fraser Ayres, Jóhannes Haukur Jóhannesson, Ken Bones, Kenneth Collard;15/12/2017;2015;TV-14
A.I.C.O.;Haruka Shiraishi, Yusuke Kobayashi, Makoto Furukawa, Taishi Murata, Kaori Nazuka, M・A・O, Ryota Takeuchi, Ai Kayano, Toru Okawa, Takehito Koyasu, Atsuko Tanaka;09/03/2018;2018;TV-14
A.M.I.;Debs Howard, Philip Granger, Sam Robert Muik, Havana Guppy, Bonnie Hay, Veronica Hampson, Lori Triolo, Andrew Coghlan, Laura Mitchell, Elinet Louicius;01/10/2020;2019;TV-MA
Aadu 2;Jayasurya, Vinayakan, Sunny Wayne, Vijay Babu, Saiju Kurup, Vineeth Mohan, Unni Rajan P. Dev, Dharmajan Bolgatty, Indrans;15/05/2018;2017;TV-MA
Aagey Se Right;Shreyas Talpade, Kay Kay Menon, Shiv Pandit, Sanjay Sharma, Shenaz Treasury, Mahie Gill;01/11/2018;2009;TV-14
Aajcha Divas Majha;Sachin Khedekar, Ashwini Bhave, Mahesh Manjrekar, Hrishikesh Joshi, Satish Alekar, Sunil Tawde, Pushkar Shrotri, Anand Ingle;01/01/2018;2013;TV-PG
Aakhri Adaalat;Vinod Khanna, Dimple Kapadia, Jackie Shroff, Sonam, Vinod Mehra, Shafi Inamdar, Gulshan Grover, Roopesh Kumar;01/09/2017;1988;TV-14
Aalorukkam;Indrans, Sreekanth Menon, Vishnu Agasthya, Aliyar, Seethabaala, Shaji John, Sajith Nampiyar, Benny Vadakkan;15/11/2018;2018;TV-PG
Aamir;Rajeev Khandelwal, Gajraj Rao, Shashanka Ghosh, Jhilmil Hazrika, Gazala Amin, Allauddin Khan;01/11/2018;2008;TV-14
Aapla Manus;Nana Patekar, Sumeet Raghvan, Iravati Harshe, Aashish Kulkarni, Savita Malpekar;10/09/2020;2018;TV-14
Aarakshan;Amitabh Bachchan, Saif Ali Khan, Manoj Bajpayee, Deepika Padukone, Prateik, Tanvi Azmi, Saurabh Shukla, Darshan Jariwala, Yashpal Sharma, Mukesh Tiwari;31/12/2019;2011;TV-14
Aashayein;John Abraham, Sonal Sehgal, Prateeksha Lonkar, Girish Karnad, Farida Jalal, Ashwin Chitale, Anaitha Nair, Vikram Inamdar, Vipin Bhali, Poonam Chitale, Nagesh Kukunoor;22/10/2017;2010;TV-14
Aashik Awara;Saif Ali Khan, Mamta Kulkarni, Mohnish Bahl, Sharmila Tagore, Saeed Jaffrey, Kader Khan;01/06/2017;1993;TV-14
Aata Pita;Sanjay Narvekar, Bharat Jadhav, Satish Phulekar, Ashwini Apte;01/01/2018;2010;TV-14
Aaviri;Ravi Babu, Neha Chauhan, Sri Muktha, Bharani Shankar, Mukhtar Khan, Priya;31/12/2019;2019;TV-14
Abby Sen;Abir Chatterjee, Raima Sen, Arunima Ghosh, Priyanka Sarkar, Sujan Mukherjee, Kanchan Mullick, Biswanath Basu, Bhaswar Chatterjee, Swagata Basu, Tuhin Mitra, Paran Banerjee, Kharaj Mukherjee, Chiranjit;01/05/2017;2015;TV-PG
ABCD 2;Prabhu Deva, Varun Dhawan, Shraddha Kapoor, Lauren Gottlieb, Sushant Pujari, Punit Pathak, Dharmesh Yelande, Raghav Juyal;01/11/2018;2015;TV-14
ABCD: Any Body Can Dance;Prabhu Deva, Kay Kay Menon, Ganesh Acharya, Dharmesh Yelande, Salman, Lauren Gottlieb, Noorin Sha, Punit Pathak;01/11/2018;2013;TV-14
Abdullah, The Final Witness;Sajid Hasan, Hameed Sheikh, Habibullah Panezai, Imraan Abbas, Sadia, Imran Tareen, Asal Deen, Yameen Shah;15/01/2019;2016;TV-14
Abhinetri;Tamannaah Bhatia, Prabhu Deva, Sonu Sood, Sapthagiri, Murli Sharma, R.V. Udhaykumar, Joy Mathew, Hema;01/05/2018;2016;TV-14
Abla Fahita: Drama Queen;Bassem Samra, Donia Maher, Zeina Mansour, Osama Abdallah, Mohamed El Swisi, Rehab Hussien;15/03/2021;2021;TV-14
Abnormal Summit;Hyun-moo Jun, Si-kyung Sung, Se-yoon Yoo;04/08/2017;2017;TV-PG
Abominable Christmas;Isabella Acres, Drake Bell, Emilio Estevez, Nolan Gould, Matthew Lillard, Ray Liotta, Jane Lynch, Ariel Winter;18/02/2016;2012;TV-Y7
About a Boy;Nicholas Hoult, Toni Collette, Victoria Smurfit, Sharon Small, Natalia Tena, Isabel Brook, Hugh Grant, Rachel Weisz, Nicholas Hutchison;01/02/2019;2002;PG-13
Abstract: The Art of Design;Christoph Niemann, Tinker Hatfield, Es Devlin, Bjarke Ingels, Paula Scher, Platon, Ilse Crawford, Ralph Gilles;25/09/2019;2019;TV-14
Abyss;Park Bo-young, Ahn Hyo-seop, Lee Sung-jae, Lee Si-eon, Han So-hee, Kwon Soo-hyun, Kim Sa-rang, Ahn Se-ha, Yun Yoo-sun;07/05/2019;2019;TV-14
Abzurdah;Eugenia Suárez, Esteban Lamothe, Gloria Carrá, Rafael Spregelburd, Tomás Ottaviano, Julieta Gullo, Zoe Hochbaum, Lucia Carolina Pecrul;25/08/2016;2015;TV-MA
Acapulco La vida va;Patricio Castillo, Sergio Bustamante, Alejandro Suárez, Luz María Jerez, Bob Isaacs, Tere Monroy;03/06/2017;2016;TV-MA
Accepted;Justin Long, Jonah Hill, Adam Herschman, Columbus Short, Maria Thayer, Lewis Black, Blake Lively, Mark Derwin, Ann Cusack, Robin Lord Taylor, Hannah Marks, Anthony Heald;02/04/2021;2006;PG-13
Accident;Louis Koo, Richie Ren, Stanley Fung Sui-Fan, Michelle Ye, Lam Suet, Alexander Chan, Monica Mok;01/12/2018;2009;TV-MA
Accidentally in Love;Junchen Guo, Yi Ning Sun, Yi Qin Zhao, Mu Xuan Cheng, Li Ma, Mo Zhou;19/10/2018;2018;TV-14
Accomplice;Kurt Sorge, Tom Van Steenbergen, Cameron Zink, Graham Agassiz, Tyler McCaul, Cameron McCaul, Ethan Nell, Hannah Bergemann, Carson Storch, Brandon Semenuk, Veronique Sandler, Nico Vink, Garett Buehler, Jaxson Riddle, Andreu Lacondeguy, Paul Genovese, Paul Basagoitia;27/01/2021;2021;TV-14
Across Grace Alley;Ben Hyland, Marsha Mason, Karina Smirnoff, Colin Branca, Ralph Macchio, Tricia Paoluccio;01/12/2016;2013;TV-PG
Across The Line;Sarah Jeffery, Simon Paul Mutuyimana, Denis Theriault, Jeremiah Sparks, Steven Love, Cara Ricketts, Jim Codrington, Shamier Anderson, Stephan James, Lanette Ware, Hugh Thompson;01/04/2019;2015;TV-MA
Across the Universe;Evan Rachel Wood, Jim Sturgess, Joe Anderson, Dana Fuchs, Martin Luther, James Urbaniak, T.V. Carpio, Spencer Liff;01/01/2019;2007;PG-13
Action Replayy;Akshay Kumar, Aishwarya Rai Bachchan, Om Puri, Kiron Kher, Neha Dhupia, Rannvijay Singh, Aditya Roy Kapur, Sudeepa Singh, Randhir Kapoor, Rajpal Yadav;11/05/2020;2010;TV-PG
Ad Vitam;Yvan Attal, Garance Marillier, Niels Schneider, Victor Assié, Rod Paradot, Anne Azoulay, Adel Bencherif;01/11/2019;2018;TV-MA
Adam Ruins Everything;Adam Conover, Adam Lustick, Emily Axford;30/09/2018;2018;TV-14
Adam: His Song Continues;Daniel J. Travanti, JoBeth Williams, Richard Masur, Martha Scott, Paul Regina;01/10/2011;1986;TV-MA
Addicted to Life;Antoine Bizet, Jesse Richman, Karsten Gefle, Wille Lindberg, Matahi Drollet, Mathias Wyss, Matt Annetts;12/06/2020;2014;TV-14
Adrift;Shailene Woodley, Sam Claflin, Jeffrey Thomas, Elizabeth Hawthorne;01/09/2020;2018;PG-13
Adrishya;Ravi Kumar, Ayesha Singh, Nishat Mallick, Archana Kotwal, Rakesh Chaturvedi Om, Nidhi Mahavan, Abhijit Sinha, Abdur Rehman;31/12/2019;2017;TV-14
Adú;Luis Tosar, Anna Castillo, Álvaro Cervantes, Miquel Fernández, Jesús Carroza, Moustapha Oumarou, Adam Nourou, Zayidiyya Dissou, Ana Wagener, Nora Navas;01/07/2020;2020;TV-MA
Advantageous;Jacqueline Kim, James Urbaniak, Freya Adams, Ken Jeong, Jennifer Ehle, Samantha Kim, Troi Zee, Olivia Horton, Jennifer Ikeda, Mercedes Griffeth;23/06/2015;2015;TV-MA
Aelay;P. Samuthirakani, Manikandan, Madhumathi Padmanathan, Akalyadevi B., S I Neelambari;05/03/2021;2021;TV-14
Æon Flux;Charlize Theron, Marton Csokas, Jonny Lee Miller, Sophie Okonedo, Frances McDormand, Pete Postlethwaite, Amelia Warner, Caroline Chikezie, Nikolai Kinski, Paterson Joseph, Yangzom Brauen;01/02/2018;2005;PG-13
Aerials;Saga Alyasery, Ana Druzhynina, Mansour Al Felei, Mohammad Abu Diak, Pascale Matar, Luke Coutts, Abeer Mohammed;07/05/2020;2016;TV-14
African America;Phumelele Mthembu, Anthony Goss, Thami Buti, Makhosazana Ndlovu, Zandile Lujabe, Gontse Ntshegang, Roget Ellis, Bridget Pike, Boipelo Nokukhanya Tau, James Raynolds, Nji Alain, Bongani Dlamin;23/07/2021;2021;TV-MA
Afronta! Facing It!;Loo Nascimento, Ingrid Silva, Rincon Sapiência, Batekoo, Gabriel Martins, Benjamin Abras, Daniele DaMata, Tasha & Tracie Okereke, Mariana de Matos, André Novais, Mahal Pita, Grace Passô, Thamyra Thâmara, Xenia França, Criola, Dani Ornellas, Anelis Assumpção, Magá Moura, Tássia Reis, Liniker, Yasmin Thayná, Raquel Virgínia, Juliana Luna, Erica Malunguinho, Diane Lima, Karol Conká;31/10/2020;2017;TV-PG
After;Josephine Langford, Hero Fiennes Tiffin, Selma Blair, Inanna Sarkis, Shane Paul McGhie, Pia Mia, Khadijha Red Thunder, Dylan Arnold, Samuel Larsen, Jennifer Beals, Peter Gallagher;09/10/2019;2019;PG-13
After Life;Ricky Gervais, Tom Basden, Tony Way, Diane Morgan, Mandeep Dhillon, David Bradley, Ashley Jensen, Kerry Godliman;24/04/2020;2020;TV-MA
Afterlife of the Party;Victoria Justice, Midori Francis, Robyn Scott, Adam Garcia, Timothy Renouf, Gloria Garcia, Myfanwy Waring, Spencer Sutherland;02/09/2021;2021;TV-PG
Aftermath;Ashley Greene, Shawn Ashmore, Sharif Atkins, Britt Baron, Diana Hopper, Ross McCall, Jamie Kaler, Travis Coles, Susan Walters, Jason Liles;04/08/2021;2021;TV-MA
Afterschool;Ezra Miller, Addison Timlin, Jeremy Allen White, Michael Stuhlbarg, Emory Cohen, David Costabile, Rosemarie DeWitt, Dariusz M. Uczkowski, Gary Wilmes, Paul Sparks, Alexandra Neil, Lee Wilkof;13/08/2020;2008;TV-MA
Against the Tide;Christopher Lee, Rui En, Desmond Tan, Zheng Geping, Zhang Zhenhuan, Paige Chua, Xu Bin, Carrie Wong;01/07/2017;2014;TV-14
Agatha and the Truth of Murder;Ruth Bradley, Pippa Haywood, Dean Andrews, Bebe Cave, Blake Harrison, Tim McInnerny, Ralph Ineson, Michael McElhatton;31/01/2019;2018;TV-MA
Agatha Christie's Crooked House;Glenn Close, Terence Stamp, Max Irons, Gillian Anderson, Christina Hendricks, Stefanie Martini, Julian Sands, Honor Kneafsey, Christian McKay, Amanda Abbington;01/09/2021;2017;PG-13
Age of Glory;Debbie Goh, Aenie Wong, Frederick Lee, Leslie Chai;14/08/2017;2010;TV-MA
Age of Rebellion;Peter Ho, Jeanine Yang, Tammy Chen, Jason Tsou, Chang Ting-hu, Nana Lee, Nien Hsuan Wu;01/09/2018;2018;TV-MA
Age of Samurai: Battle for Japan;Masayoshi Haneda, Masami Kosaka, Hideaki Ito, Hayate, Wilfred Lee, Philippe Koo;24/02/2021;2021;TV-MA
Agent;Khumbulani Kay Sibiya, Sisanda Henna, Tarynn Wyngaard, Anthony Oseyemi, Virgile Bramly, Manie Malone, Yannick Konnan, Vinaya Sungkur, Michaella Russell, Thabo Malema;20/12/2019;2019;TV-MA
Agent Raghav;Sharad Kelkar, Aahana Kumra, Mahesh Manjrekar, Deepali Pansare, Danish Pandor, Jason Tham, Reena Aggarwal, Swati Rajput;15/04/2017;2015;TV-14
Aggretsuko;Kaolip, Komegumi Koiwasaki, Maki Tsuruta, Sohta Arai, Rina Inoue, Shingo Kato, Yuki Takahashi;27/08/2020;2020;TV-14
Aggretsuko: We Wish You a Metal Christmas;Kaolip, Shingo Kato, Komegumi Koiwasaki, Maki Tsuruta, Sohta Arai, Rina Inoue, Yuki Takahashi, Rarecho;20/12/2018;2018;TV-PG
Agneepath;Amitabh Bachchan, Mithun Chakraborty, Danny Denzongpa, Madhavi, Neelam, Alok Nath, Rohini Hattangadi, Tinnu Anand, Vikram Gokhale, Archana Puran Singh;01/04/2020;1990;TV-14
Agyaat;Adesh Bhardwaj, Rasika Dugal, Joy Fernandes, Ravi Kale, Ishtiyak Khan, Priyanka Kothari, Kali Prasad Mukherjee, Nitin Reddy, Gautam Rode, Howard Rosemeyer;01/10/2018;2009;TV-14
Ahaan;Arif Zakaria, Abuli Mamaji, Niharika Singh, Rajit Kapoor, Plabita Borthakur, Shilpa Mehta, Kaizaad Kotwal, Sonali Sachdev, Haresh Raut;15/05/2021;2021;TV-MA
Ahista Ahista;Abhay Deol, Soha Ali Khan, Shayan Munshi, Kamini Khanna, Sohrab Ardeshir, Murad Ali, Shakeel Khan, Natasha Sinha, Brijendra Kala;31/12/2019;2006;TV-14
Ainori Love Wagon: African Journey;Becky, Ryo Kato, Karina Maruyama, Kohei Takeda;30/01/2020;2019;TV-14
Ainori Love Wagon: Asian Journey;Becky, Audrey, Mayuko Kawakita, Shimon Okura;28/03/2019;2018;TV-MA
Ainu Mosir;Kanto Shimokura, Debo Akibe, Emi Shimokura, Toko Miura, Lily Franky;17/11/2020;2020;TV-PG
Airplane Mode;Larissa Manoela, André Luiz Frambach, Erasmo Carlos, Mariana Amâncio, Amanda Orestes, Eike Duarte, Nayobe Nzainab, Katiuscia Canoro, Phellyx Moura, Dani Ornellas, Michel Bercovitch, Sílvia Lourenço;23/01/2020;2020;TV-PG
Aisa Yeh Jahaan;Palash Sen, Ira Dubey, Yashpal Sharma, Tinnu Anand, Prisha Dabbas, Kymsleen Kholie, Satish Sharma;15/10/2017;2015;TV-14
Aitraaz;Akshay Kumar, Kareena Kapoor, Priyanka Chopra, Amrish Puri, Paresh Rawal, Annu Kapoor;01/03/2018;2004;TV-14
Aiyaary;Sidharth Malhotra, Manoj Bajpayee, Rakul Preet Singh, Pooja Chopra, Adil Hussain, Kumud Mishra, Naseeruddin Shah, Anupam Kher, Vikram Gokhale, Juhi Babbar;15/05/2018;2018;TV-MA
Aiyyaa;Rani Mukerji, Prithviraj Sukumaran, Nirmiti Sawant, Subodh Bhave, Jyoti Subhash, Satish Alekar, Anita Date, Amey Wagh, Kishori Balal, Pakoda Pandi;05/07/2020;2012;TV-14
AJ and the Queen;RuPaul Charles, Izzy G., Michael-Leon Wooley, Josh Segarra, Katerina Tannenbaum, Tia Carrere;10/01/2020;2020;TV-14
Ajab Prem Ki Ghazab Kahani;Ranbir Kapoor, Katrina Kaif, Govind Namdeo, Darshan Jariwala, Zakir Hussain, Smita Jaykar, Navneet Nishan, Dolly Bindra, Upen Patel;25/10/2020;2009;TV-14
Ajeeb Daastaans;Fatima Sana Shaikh, Jaideep Ahlawat, Armaan Ralhan, Nushrat Bharucha, Abhishek Banerjee, Inayat Verma, Konkona Sen Sharma, Aditi Rao Hydari, Shefali Shah, Manav Kaul, Tota Roy Chowdhury;16/04/2021;2021;TV-MA
AJIN: Demi-Human;Mamoru Miyano, Yoshimasa Hosoya, Jun Fukuyama, Hochu Otsuka, Daisuke Hirakawa, Takahiro Sakurai, Mikako Komatsu, Hiroyuki Kinoshita, Aya Suzaki;27/12/2016;2016;TV-MA
Ajji;Sushama Deshpande, Abhishek Banerjee, Smita Tambe, Sharvani Suryavanshi, Vikas Kumar, Sadiya Siddiqui, Sudhir Pandey, Manuj Sharma;01/05/2018;2017;TV-MA
AK vs AK;Anil Kapoor, Anurag Kashyap;25/12/2020;2020;TV-MA
Akame ga Kill!;Sora Amamiya, Soma Saito, Yukari Tamura, Yuu Asakawa, Mamiko Noto, Yoshitsugu Matsuoka, Katsuyuki Konishi, Risa Mizuno, Satomi Akesaka;01/03/2020;2014;TV-14
Akulah Balqis;Puteri Balqis, Aeril Zafrel, Nabila Huda, Nazim Othman, Nadia Brian, Bella Dally;03/11/2017;2015;TV-14
Al acecho;Rodrigo de la Serna, Belen Blanco, Walter Jakob, Facundo Aquinos, Patricia Calisaya;12/01/2021;2019;TV-MA
Al Hayba;Taim Hasan, Nadine Nassib Njeim, Abdo Chahine, Oweiss Mkhallalati, Mona Wassef;15/09/2018;2017;TV-14
Ala Vaikunthapurramuloo;Allu Arjun, Pooja Hegde, Tabu, Sushanth, Nivetha Pethuraj, Jayaram, Murli Sharma;27/02/2020;2020;TV-14
Alakada Reloaded;Kehinde Bankole, Lilian Esoro, Bolaji Amusan, Toyin Abraham, Gabriel Afolayan, Bidemi Kosoko, Wumi Toriola, Tayo Amokade, Helen Paul, Liz DaSilva;06/03/2020;2017;TV-MA
Alaska Is a Drag;Martin L. Washington Jr., Maya Washington, Matt Dallas, Christopher O'Shea, Jason Scott Lee, Margaret Cho, Kevin Daniels, John Fleck, Nia Peeples, Adam Tomei;31/12/2020;2017;TV-MA
Albert Pinto Ko Gussa Kyun Aata Hai?;Nandita Das, Manav Kaul, Saurabh Shukla, Kishore Kadam, Omkar Das Manikpuri, Amarjeet Amle, Yusuf Hussain, Sushma Bakshi;31/12/2019;2019;TV-MA
Albion: The Enchanted Stallion;Daniel Sharman, Jennifer Morrison, Debra Messing, Stephen Dorff, John Cleese, Liam McIntyre, Richard Kind, Avery Arendes, Castille Landon;01/07/2017;2016;TV-PG
Alelí;Néstor Guzzini, Mirella Pascual, Cristina Morán, Romina Peluffo, Laila Reyes Silberberg, Pablo Tate, Gerónimo Pizzanelli, Georgina Yankelevich, Julio Icasuriaga, Carla Moscatelli;16/04/2020;2019;TV-MA
Alex Strangelove;Daniel Doheny, Madeline Weinstein, Antonio Marziale, Daniel Zolghadri, Annie Q., Nik Dodani, Fred Hechinger, Kathryn Erbe, Isabella Amara, Sophie Faulkenberry;08/06/2018;2018;TV-MA
Alexandria ... Why?;Naglaa Fathi, Farid Shawqy, Mohsen Mohiedine, Ezzat El Alaili, Abdalla Mahmoud, Youssef Wahby, Yehia Chahine, Laila Fawzy, Mahmoud El Meleigy, Ahmed Zaki, Gerry Sundquist;18/06/2020;1979;TV-MA
Alexandria: Again and Forever;Youssef Chahine, Yousra, Hussein Fahmy, Amr Abdel-Geleel, Taheya Cariocca, Hesham Selim, Huda Sultan, Ragaa Hussein;18/06/2020;1989;TV-MA
Ali & Alia;Khalifa Albhri, Neven Madi, Talal Mahmood, Sawsan Saad, Fatma Hassan;12/05/2020;2019;TV-14
Ali & Ratu Ratu Queens;Iqbaal Ramadhan, Nirina Zubir, Asri Welas, Tika Panggabean, Happy Salma, Aurora Ribero, Marissa Anita, Bayu Skak, Cut Mini Theo, Ibnu Jamil;17/06/2021;2021;TV-14
